Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Прокопович,Леонід,Юрійович,Чоловік,1991-02-26,Астрофізик,місто Голубівка,"проспект Солонцюватий 1-й, буд. 1 кв. 8, Зміїв, 43361",582 46 32,yveres@example.org
Малишко,Євген,Костянтинович,Чоловік,1981-12-16,Живописець,хутір Дебальцеве,"провулок Суднобудівний, буд. 281, Сокиряни, 22049",103 82 83,mhavrylyshyn@example.com
Ісаєвич,Петро,Святославович,Чоловік,1951-12-28,Бібліотекар,село Олевськ,"шосе Теліги Олени, буд. 16 кв. 209, Маріуполь, 88625",000 422-61-16,viraradchenko@example.org
Алексюк,Лесь,Тарасович,Чоловік,1992-12-28,Редактор,село Стебник,"провулок Шкільний аеродром, буд. 2 кв. 48, Покровськ, 72570",+380 96 516-29-09,bhodunok@example.com
Михайлюк,Ірена,Іллівна,Жінка,1985-02-20,Юрист,селище Покров,"шосе Недєліна, буд. 84, Липовець, 96567",027 836-34-45,hriabovil@example.com
Ващук,Мирон,Максимович,Чоловік,1978-10-03,Науковець,хутір Єнакієве,"набережна Десятого квітня, буд. 877 кв. 254, Рахів, 17215",+380 (22) 139-13-64,arseniaremkiv@example.net
Фаренюк,Амалія,Павлівна,Жінка,1959-09-02,Патологоанатом,хутір Сарни,"узвіз Зарічна, буд. 356 кв. 33, Олександрія, 96149",+380 77 037 19 13,rozaliia90@example.com
Кибкало,Анастасія,Назарівна,Жінка,1957-08-20,Єгер,село Чугуїв,"узвіз Прирейкова, буд. 56 кв. 17, Новодружеськ, 85877",+380 (24) 523-11-15,nosenkooleksandr@example.net
Макаренко,Давид,Назарович,Чоловік,2005-09-05,Диригент,хутір Біла Церква,"шосе Сибірська, буд. 954 кв. 823, Борислав, 16507",019 667-08-00,orysia20@example.net
Бабак,Пилип,Ілліч,Чоловік,1977-04-22,Головний меркшейдер,хутір Бахчисарай,"узвіз Поштовий, буд. 689, Покровськ, 22647",041 614-94-02,shutkoiaroslav@example.com
Бездітко,Артем,Ілліч,Чоловік,1986-01-11,Педагог,село Глухів,"парк Південна, буд. 8, Світловодськ, 67133",+380 58 793-06-43,tsiutsiuraiosyp@example.com
Коваленко,Василь,Тарасович,Чоловік,1952-12-22,Секретар,місто Дебальцеве,"площа Західний 3-й, буд. 3, Сулимівка (Слов'янськ), 61464",483-11-18,avhustyn89@example.org
Абрамчук,Роман,Назарович,Чоловік,1965-07-16,Детектив,хутір Ананьїв,"проспект Благовидової, буд. 65 кв. 3, Білицьке, 45587",+380 81 661-40-70,solomiiamamchur@example.org
Тимчук,Григорій,Павлович,Чоловік,1996-02-23,Золотар,село Чернігів,"узвіз Сливова, буд. 8 кв. 6, Берислав, 16965",+380 40 184-63-83,vasylandriishyn@example.net
Литвиненко,Данна,Ярославівна,Жінка,1986-03-06,Епідеміолог,село Географія Вільнянська,"вулиця Прокатна, буд. 854 кв. 0, Стебник, 07053",+380 36 649-15-08,kyrylo91@example.org
Ярема,Олекса,Ілліч,Чоловік,1994-03-21,Геофізик,місто Узин,"набережна Хімічний 2-й, буд. 079 кв. 091, Южноукраїнськ, 75132",078 605-52-33,rostyslavzasiadko@example.com
Туркало,Людмила,Романівна,Жінка,1958-07-31,Інженер,місто Жидачів,"парк Озерна, буд. 874 кв. 770, Краматорськ, 22260",089-60-08,shabliihalyna@example.net
Романчук,Лариса,Назарівна,Жінка,1963-11-07,Акушер,селище Ірпінь,"площа Східчастий 4-й, буд. 723 кв. 84, Гребінка, 25171",309 20 40,qzabara@example.com
Цибуленко,Аніта,Максимівна,Жінка,2006-03-31,Петрограф,селище Борзна,"парк Мечникова, буд. 83 кв. 240, Полтава, 45028",097 916-45-18,orkhyp84@example.net
Барабаш,Олекса,Ярославович,Чоловік,1979-09-26,Гірничий інженер,селище Ватутіне,"набережна Катерининська, буд. 40 кв. 2, Сокаль, 04580",043 968 28 14,turkaloheorhii@example.com
Оберемко,Костянтин,Юрійович,Чоловік,1993-10-28,Редактор,селище Семенівка,"шосе Катаєва, буд. 1 кв. 15, Здолбунів, 90246",+380 55 832-08-50,antonmishchenko@example.com
Чайка,Богдан,Назарович,Чоловік,1997-09-20,Стоматолог,селище Кодима,"вулиця Усатівська, буд. 7, Барвінкове, 43713",063 138-97-99,ysheremeta@example.org
Єрьоменко,Олекса,Степанович,Чоловік,1984-05-26,Письменник,село Яремче,"проспект Яружний, буд. 3, Таврійськ, 75553",020 778 96 29,yhrytsenko@example.net
Терещенко,Єва,Іллівна,Жінка,1971-09-07,Фольклорист,хутір Бахмут,"узвіз Бехтерєва, буд. 558 кв. 727, Валки , 84539",093 807-95-63,serhiiavdieienko@example.org
Бевз,Альбіна,Романівна,Жінка,1950-04-01,Ботанік,село Тальне,"вулиця Проектна 1-ша, буд. 8 кв. 6, Городок, 30777",753 34 24,pavlykihor@example.net
Хомик,Соломія,Тарасівна,Жінка,1964-09-11,Промисловець,місто Ялта,"вулиця Льва Симиренка, буд. 119, Сулимівка (Слов'янськ), 95064",171 55 50,hlib47@example.com
Гайденко,Богдан,Павлович,Чоловік,2008-09-19,Гінеколог,селище Козятин,"шосе Уютна, буд. 072 кв. 376, Корець, 77654",+380 25 244 85 34,kostiantyn57@example.net
Артимович,Ірина,Степанівна,Жінка,1948-01-14,Співак,село Волочиськ,"узвіз Кордонний, буд. 842 кв. 81, Мукачево, 13276",+380 87 161-74-28,hennadiiiukhymenko@example.com
Нестеренко,Аркадій,Павлович,Чоловік,2007-06-24,Штукатур,хутір Нова Каховка,"вулиця Новоселів, буд. 703, Попасна, 31717",+380 26 134-72-80,sviatoslavdeineko@example.com
Верхола,Альберт,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,2008-07-26,Гірничий інженер,місто Тисмениця,"вулиця Овідіопольська, буд. 5, Іллінці, 08546",375 11 08,aandreiko@example.org
Зінченко,Леонід,Ярославович,Чоловік,1969-09-13,Флорист,хутір Гуляйполе,"узвіз Лютневий 2-й, буд. 50 кв. 27, Коростень, 85055",954-39-59,ytsybulenko@example.org
Цибуленко,Михайло,Юрійович,Чоловік,1993-01-07,Модель,село Суходільськ,"узвіз Отамана Головатого, буд. 81, Березань , 77732",+380 69 168-78-53,pushkarboleslav@example.org
Свистун,Одарка,Юріївна,Жінка,2007-10-26,Ветеринар,селище Нововолинськ,"узвіз Бреуса, буд. 6, Роздільна, 71675",045 930-25-67,nestor38@example.com
Вакарчук,Гаврило,Назарович,Чоловік,1960-06-20,Намотувальник,селище Ічня,"вулиця Кар’єрна, буд. 23 кв. 6, Бучач, 47090",+380 04 592-43-68,caronets@example.org
Пелех,Дан,Назарович,Чоловік,1959-03-21,Стиліст,хутір Новомиргород,"парк Яблучна, буд. 453 кв. 270, Червоносів, 60636",089-75-06,boryslav05@example.com
Авдєєнко,Демид,Павлович,Чоловік,1957-06-04,М'ясник,місто Соледар,"провулок Український 2-й, буд. 500 кв. 0, Борщів, 93133",048 691 20 37,panashavriushenko@example.org
Франко,Костянтин,Максимович,Чоловік,1979-03-30,Архітектор,місто Вознесенськ,"проспект Студентський 4-й, буд. 485 кв. 27, Молочанськ, 72399",024-50-20,fpustovit@example.net
Алексеєнко,Богуслава,Євгенівна,Жінка,1988-06-21,Складальник,село Збараж,"сквер Житомирський 4-й, буд. 99, Мирноград, 23614",+380 (29) 802-16-00,varvara97@example.com
Тесленко,Юстим,Романович,Чоловік,1950-09-19,Маркетолог,село Алмазна,"провулок 19-та Лінія, буд. 7, Щастя , 61761",657 16 94,hverkhola@example.com
Чабан,Едуард,Назарович,Чоловік,1982-01-04,Акушер,село Красноперекопськ,"шосе Амундсена, 3-й, буд. 01 кв. 5, Березне, 82362",082 077-57-89,tsymbaliukrozaliia@example.net
Василечко,Дарина,Євгенівна,Жінка,2006-12-05,Хімік,село Новоград-Волинський,"набережна Івахненка Петра, буд. 2 кв. 4, Фастів, 34577",003 578 02 22,hlibdavymuka@example.org
Вдовенко,Станіслав,Ілліч,Чоловік,1962-07-19,Диригент,селище Ананьїв,"узвіз Амурський 3-й, буд. 20 кв. 15, Родинське, 03133",+380 (96) 919-94-72,edanylenko@example.net
Саченко,Людмила,Тарасівна,Жінка,1939-11-30,Реабілітолог,хутір Щолкіне,"набережна Маринеско узвіз, буд. 22 кв. 97, Монастириська, 40597",+380 68 724 29 27,ivanmykytiuk@example.com
Архипенко,Леон,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,1966-05-14,Кухар,селище Корюківка,"провулок Баштанна, буд. 749 кв. 73, Попасна, 06743",099 179-90-62,semenvakarchuk@example.org
Захарченко,Тереза,Назарівна,Жінка,1969-10-11,Юрист,селище Сновськ,"набережна Агрономічний, буд. 2, Алушта, 69707",189 23 41,ielysaveta70@example.net
Удовенко,Йосип,Ярославович,Чоловік,1996-05-28,Няня,селище Херсон,"провулок Косовський, буд. 519 кв. 084, Глиняни, 83209",317-13-43,panteleimon63@example.net
Лесик,Розалія,Степанівна,Жінка,1960-11-26,Краєзнавець,селище Новодружеськ,"набережна 411-ї батареї, буд. 2 кв. 7, Фастів, 44992",048 133 94 85,valeriiiefymenko@example.net
Атрощенко,Богданна,Ярославівна,Жінка,1940-06-13,Бізнесмен,хутір Чоп,"провулок Вертелецького, буд. 2 кв. 33, Вишгород, 81638",291-36-93,bkonoplia@example.org
Слюсар,Клавдія,Костянтинівна,Жінка,1948-06-12,Письменник,селище Кам'янка (Черкаська область),"набережна Віри Холодної, буд. 06 кв. 487, Перещепине, 26231",+380 (98) 391-65-02,onysym86@example.org
Авдєєнко,Василина,Ярославівна,Жінка,1949-07-06,Фотограф,хутір Радивилів,"проспект Молоді, буд. 80 кв. 051, Фастів, 09351",+380 58 572-91-47,venedykttsisyk@example.org
Орлик,Гаврило,Святославович,Чоловік,1938-01-20,Ювелір,хутір Мирноград,"вулиця Перемоги, буд. 263 кв. 99, Пирятин, 75328",+380 01 688-32-64,oleksandr88@example.org
Гузенко,Вʼячеслав,Святославович,Чоловік,1983-03-14,Каскадер,хутір Красноград,"узвіз Шишкіна, буд. 66, Рубіжне, 76065",827-62-38,demyd02@example.net
Наливайко,Орина,Іллівна,Жінка,1989-11-21,Математик,село Сулимівка (Слов'янськ),"набережна Дачний 2-й, буд. 8, Червоноград, 24356",550-90-64,mazepaavrelii@example.net
Салій,Любов,Іллівна,Жінка,1959-10-25,Сценарист,селище Каховка,"узвіз Десятого квітня, буд. 94 кв. 959, Мукачево, 85851",+380 49 563-20-75,rozaliiamazur@example.net
Батуринець,Камілла,Максимівна,Жінка,1977-01-12,Етнограф,хутір Чорнобиль,"сквер Лиманчик 2-й Лінія 3-тя, буд. 50 кв. 9, Чуднів, 71171",+380 91 914 31 87,nchaban@example.org
Данько,Пармен,Степанович,Чоловік,1999-03-01,Літературознавець,село Львів,"шосе Желябова, буд. 60 кв. 0, Бунге , 92829",+380 (71) 104-73-35,omelian76@example.net
Євдокименко,Аліна,Євгенівна,Жінка,1954-10-06,Ветеринар,місто Великі Мости,"узвіз Віри Фігнер, буд. 69, Нікополь, 91833",+380 25 534-59-78,ivanchenko@example.com
Медведенко,Аліна,Данилівна,Жінка,1986-09-27,Кухар,село Вуглегірськ,"проспект Сміливий, буд. 1 кв. 239, Кременець, 95815",066 012 40 69,bakumenkoorest@example.com
